2016-03-18 15:47:06,071 INFO      [service_mgr.py:57(run)] start child process with command
2016-03-18 15:51:07,043 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:51:08,044 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:51:09,046 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:51:10,048 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:51:11,050 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:51:12,052 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:51:13,054 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:51:14,057 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:51:15,061 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:51:15,061 INFO      [service.py:96(run_forever)] restart child process again, times=20
2016-03-18 15:51:16,087 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:51:17,088 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:51:18,090 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:51:19,093 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:51:20,095 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:51:21,097 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:51:22,099 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:51:23,101 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:51:24,103 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:51:25,105 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:51:26,108 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:51:26,109 INFO      [service.py:96(run_forever)] restart child process again, times=21
2016-03-18 15:51:27,127 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:51:28,130 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:51:29,131 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:51:30,133 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:51:31,135 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:51:32,137 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:51:33,139 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:51:34,142 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:51:35,143 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:51:36,146 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:51:37,149 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:51:37,149 INFO      [service.py:96(run_forever)] restart child process again, times=22
2016-03-18 15:51:38,163 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:51:39,165 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:51:40,167 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:51:41,169 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:51:42,171 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:51:43,173 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:51:44,175 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:51:45,177 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:51:46,179 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:51:47,181 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:51:48,185 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:51:48,185 INFO      [service.py:96(run_forever)] restart child process again, times=23
2016-03-18 15:51:49,199 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:51:50,215 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:51:51,217 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:51:52,219 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:51:53,221 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:51:54,223 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:51:55,224 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:51:56,227 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:51:57,228 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:51:58,230 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:51:59,235 INFO      [service.py:106(run_forever)] 0
2016-03-18 15:51:59,254 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:51:59,255 INFO      [service.py:96(run_forever)] restart child process again, times=24
2016-03-18 15:52:00,283 INFO      [service.py:106(run_forever)] 10
2016-03-18 15:52:01,285 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:52:02,287 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:52:03,289 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:52:04,291 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:52:05,293 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:52:06,295 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:52:07,297 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:52:08,299 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:52:09,301 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:52:10,303 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:52:10,303 INFO      [service.py:96(run_forever)] restart child process again, times=25
2016-03-18 15:52:11,318 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:52:12,320 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:52:13,322 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:52:14,325 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:52:15,326 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:52:16,328 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:52:17,330 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:52:18,332 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:52:19,334 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:52:20,336 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:52:21,340 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:52:21,340 INFO      [service.py:96(run_forever)] restart child process again, times=26
2016-03-18 15:52:22,357 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:52:23,358 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:52:24,360 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:52:25,362 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:52:26,364 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:52:27,365 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:52:28,367 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:52:29,367 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:52:30,369 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:52:31,370 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:52:32,374 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:52:32,374 INFO      [service.py:96(run_forever)] restart child process again, times=27
2016-03-18 15:52:33,388 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:52:34,401 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:52:35,402 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:52:36,404 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:52:37,405 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:52:38,406 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:52:39,407 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:52:40,409 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:52:41,409 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:52:42,411 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:52:43,413 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:52:43,414 INFO      [service.py:96(run_forever)] restart child process again, times=28
2016-03-18 15:52:44,427 INFO      [service.py:106(run_forever)] 010
2016-03-18 15:52:45,429 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:52:46,431 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:52:47,433 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:52:48,435 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:52:49,437 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:52:50,439 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:52:51,441 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:52:52,442 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:52:53,444 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:52:54,448 INFO      [service.py:106(run_forever)] 0
2016-03-18 15:52:54,453 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
2016-03-18 15:52:54,453 INFO      [service.py:96(run_forever)] restart child process again, times=29
2016-03-18 15:52:55,468 INFO      [service.py:106(run_forever)] 10
2016-03-18 15:52:56,468 INFO      [service.py:106(run_forever)] 9
2016-03-18 15:52:57,470 INFO      [service.py:106(run_forever)] 8
2016-03-18 15:52:58,472 INFO      [service.py:106(run_forever)] 7
2016-03-18 15:52:59,472 INFO      [service.py:106(run_forever)] 6
2016-03-18 15:53:00,473 INFO      [service.py:106(run_forever)] 5
2016-03-18 15:53:01,475 INFO      [service.py:106(run_forever)] 4
2016-03-18 15:53:02,477 INFO      [service.py:106(run_forever)] 3
2016-03-18 15:53:03,478 INFO      [service.py:106(run_forever)] 2
2016-03-18 15:53:04,480 INFO      [service.py:106(run_forever)] 1
2016-03-18 15:53:05,482 CRITICAL  [service.py:93(run_forever)] child process shutdown with return code: 0
